i,j,x,y
11,8,1.1490288654203802,-0.46243507551006713
11,9,1.2197296959166033,-0.5470017271947524
11,10,1.303184977560847,-0.6412036555031024
11,11,1.4008133796648057,-0.7466390787881624
11,12,1.5142952303789492,-0.8651220510179488
11,13,1.645598937721022,-0.9987095662511521
11,14,1.7970135830761695,-1.1497353485458652
11,15,1.9711879026461643,-1.3208503028869747
11,16,2.171176037831584,-1.515070046672873
11,17,2.4004905687480993,-1.7358303207666301
11,18,2.6631634395660737,-1.9870514459528472
11,19,2.9638154293715644,-2.2732133932050806
11,20,3.3077347985928442,-2.599443524850447
11,21,3.7009656163029474,-2.971619699412329
11,22,4.150405996093049,-3.3964922980686416
11,23,4.663915957166378,-3.881829944126268
11,24,5.250433767807807,-4.436595430921251
12,0,0.9393377838495149,-0.008483695189030444
12,1,0.9264597767057154,-0.05178565248531774
12,2,0.9245157916434807,-0.1005731313358297
12,3,0.9322555195106873,-0.1538831076866466
12,4,0.94913300831922,-0.21158154282798033
12,5,0.974994902655325,-0.2740077338610977
12,6,1.009974276711249,-0.3418327384444681
12,7,1.0544519388399554,-0.41598102176739093
12,8,1.1090400033583618,-0.4975871380185552
12,9,1.1745757446945253,-0.5879774921903468
12,10,1.2521232579352273,-0.6886702104457835
12,11,1.3429823914995596,-0.8013879494911847
12,12,1.448704602678113,-0.9280802892643241
12,13,1.5711154194562027,-1.0709538501146698
12,14,1.712343327332442,-1.2325093496704982
12,15,1.8748550936770256,-1.4155855504999741
12,16,2.061497735828772,-1.6234105723263677
12,17,2.2755475015105566,-1.8596614569791141
12,18,2.52076634705539,-2.128533258713323
12,19,2.8014664594138905,-2.4348193483291802
12,20,3.122583355067967,-2.7840051234860232
12,21,3.48975797356782,-3.182377974206018
12,22,3.9094279175519864,-3.6371572468452045
12,23,4.388927499522155,-4.156649203068466
12,24,4.936595430921252,-4.750433767807806
13,0,0.9256727118573902,-0.010307052108272574
13,1,0.9092400996076015,-0.056914793110982714
13,2,0.9039045754201409,-0.10923000431196597
13,3,0.9083776156602452,-0.1661865708221475
13,4,0.9219839988969554,-0.22762719692378774
13,5,0.9444159937245724,-0.29393492223253553
13,6,0.9756578130422544,-0.3658604646547238
13,7,1.0159553312567902,-0.4444231251129291
13,8,1.0657972719027862,-0.5308580650734871
13,9,1.1259030776971324,-0.6265957170946111
13,10,1.197218288608707,-0.7332627269422473
13,11,1.2809179263739956,-0.8526972199200185
13,12,1.3784176025746526,-0.9869741209731125
13,13,1.4913917991974133,-1.1384383446466209
13,14,1.6217988653042155,-1.3097450110371365
13,15,1.7719125039447547,-1.5039066874470624
13,16,1.9443597640562884,-1.7243482172263715
13,17,2.142165752508647,-1.9749701246581206
13,18,2.368805425079107,-2.2602219746089958
13,19,2.628262893637109,-2.585187487271966
13,20,2.925098687071969,-2.9556837219184633
13,21,3.264525300349774,-3.378377315351076
13,22,3.652491116300531,-3.860921676986756
13,23,4.095772319102251,-4.412120325630922
13,24,4.602071638119343,-5.0421233895787285
14,0,0.9092746254668407,-0.012454790447174468
14,1,0.8891587081838199,-0.06242066196721024
14,2,0.8804073951043314,-0.11813082088614986
14,3,0.8816361365828634,-0.17846956508975426
14,4,0.8919944519588112,-0.2433071002410418
14,5,0.910990345763659,-0.31310486888690886
14,6,0.9384432434162578,-0.3887110277003546
14,7,0.9744567610820268,-0.47124495495668234
14,8,1.019392790188779,-0.5620399725905485
14,9,1.0738504922198153,-0.6626238744905055
14,10,1.1386539579698767,-0.7747229076733321
14,11,1.2148494248532022,-0.9002804132691881
14,12,1.3037113905657678,-1.0414853831844968
14,13,1.4067566013842618,-1.2008087122640765
14,14,1.5257650762166541,-1.3810464017505428
14,15,1.6628076589230747,-1.585369839592008
14,16,1.8202799073559277,-1.817383839195988
14,17,2.000942377434282,-2.081193535278273
14,18,2.2079675352576116,-2.3814816186943553
14,19,2.444993628702472,-2.7235978127313847
